logZ,muXX,muYY
4.86166898447841,-10,-10
4.84153142102101,-9.80000000000000,-10
4.82162395317087,-9.60000000000000,-10
4.80195128181580,-9.40000000000000,-10
4.78251816301106,-9.20000000000000,-10
4.76332940586607,-9,-10
4.74438987023499,-8.80000000000000,-10
4.72570446420511,-8.60000000000000,-10
4.70727814137734,-8.40000000000000,-10
4.68911589793329,-8.20000000000000,-10
4.67122276948425,-8,-10
4.65360382769738,-7.80000000000000,-10
4.63626417669568,-7.60000000000000,-10
4.61920894922816,-7.40000000000000,-10
4.60244330260808,-7.20000000000000,-10
4.58597241441746,-7,-10
4.56980147797704,-6.80000000000000,-10
4.55393569758188,-6.60000000000000,-10
4.53838028350367,-6.40000000000000,-10
4.52314044676196,-6.20000000000000,-10
4.50822139366762,-6,-10
4.49362832014298,-5.80000000000000,-10
4.47936640582444,-5.60000000000000,-10
4.46544080795466,-5.40000000000000,-10
4.45185665507252,-5.20000000000000,-10
4.43861904051084,-5,-10
4.42573301571290,-4.80000000000000,-10
4.41320358338045,-4.60000000000000,-10
4.40103569046727,-4.40000000000000,-10
4.38923422103369,-4.20000000000000,-10
4.37780398897922,-4,-10
4.36674973067146,-3.80000000000000,-10
4.35607609749115,-3.60000000000000,-10
4.34578764831436,-3.40000000000000,-10
4.33588884195417,-3.20000000000000,-10
4.32638402958543,-3,-10
4.31727744717700,-2.80000000000000,-10
4.30857320795727,-2.60000000000000,-10
4.30027529493935,-2.40000000000000,-10
4.29238755353295,-2.20000000000000,-10
4.28491368427096,-2,-10
4.27785723567866,-1.80000000000000,-10
4.27122159731412,-1.60000000000000,-10
4.26500999300822,-1.40000000000000,-10
4.25922547433269,-1.20000000000000,-10
4.25387091432407,-1,-10
4.24894900149140,-0.799999999999999,-10
4.24446223413413,-0.600000000000000,-10
4.24041291499639,-0.399999999999999,-10
4.23680314628221,-0.199999999999999,-10
4.23363482505533,0,-10
4.23090963904538,0.199999999999999,-10
4.22862906288082,0.399999999999999,-10
4.22679435476701,0.600000000000000,-10
4.22540655362584,0.799999999999999,-10
4.22446647671116,1,-10
4.22397471771201,1.20000000000000,-10
4.22393164535331,1.40000000000000,-10
4.22433740250106,1.60000000000000,-10
4.22519190577680,1.80000000000000,-10
4.22649484568322,2,-10
4.22824568724064,2.20000000000000,-10
4.23044367113097,2.40000000000000,-10
4.23308781534375,2.60000000000000,-10
4.23617691731588,2.80000000000000,-10
4.23970955655461,3,-10
4.24368409773081,3.20000000000000,-10
4.24809869422724,3.40000000000000,-10
4.25295129212474,3.60000000000000,-10
4.25823963460699,3.80000000000000,-10
4.26396126676291,4,-10
4.27011354076395,4.20000000000000,-10
4.27669362139247,4.40000000000000,-10
4.28369849189560,4.60000000000000,-10
4.29112496013844,4.80000000000000,-10
4.29896966502944,5,-10
4.30722908318992,5.20000000000000,-10
4.31589953583975,5.40000000000000,-10
4.32497719587051,5.60000000000000,-10
4.33445809507753,5.80000000000000,-10
4.34433813152262,6,-10
4.35461307699920,6.20000000000000,-10
4.36527858457224,6.40000000000000,-10
4.37633019616608,6.60000000000000,-10
4.38776335017403,6.80000000000000,-10
4.39957338906415,7,-10
4.41175556695738,7.20000000000000,-10
4.42430505715453,7.40000000000000,-10
4.43721695959049,7.60000000000000,-10
4.45048630819488,7.80000000000000,-10
4.46410807814000,8,-10
4.47807719295811,8.20000000000000,-10
4.49238853151177,8.40000000000000,-10
4.50703693480205,8.60000000000000,-10
4.52201721260130,8.80000000000000,-10
4.53732414989824,9,-10
4.55295251314479,9.20000000000000,-10
4.56889705629539,9.40000000000000,-10
4.58515252663104,9.60000000000000,-10
4.60171367036133,9.80000000000000,-10
4.61857523799946,10,-10
4.84153142102101,-10,-9.80000000000000
4.82137392150599,-9.80000000000000,-9.80000000000000
4.80144688426227,-9.60000000000000,-9.80000000000000
4.78175503017995,-9.40000000000000,-9.80000000000000
4.76230313572781,-9.20000000000000,-9.80000000000000
4.74309603082455,-9,-9.80000000000000
4.72413859651184,-8.80000000000000,-9.80000000000000
