beta,min eigenvalue of Hessian
0,0
0.00100000000000000,9.78659300633508E-07
0.00200000000000000,3.82979964196015E-06
0.00300000000000000,8.42743964460862E-06
0.00400000000000000,1.46474774003712E-05
0.00500000000000000,2.23679354750773E-05
0.00600000000000000,3.14692286660512E-05
0.00700000000000000,4.18344512272473E-05
0.00800000000000000,5.33496793099475E-05
0.00900000000000000,6.59042833903760E-05
0.0100000000000000,7.93912456994225E-05
0.0110000000000000,9.37074748667247E-05
0.0120000000000000,0.000108754112596881
0.0130000000000000,0.000124436825210604
0.0140000000000000,0.000140666072984505
0.0150000000000000,0.000157357351749434
0.0160000000000000,0.000174431400896383
0.0170000000000000,0.000191814372741980
0.0180000000000000,0.000209437959416533
0.0190000000000000,0.000227239476084953
0.0200000000000000,0.000245161894590321
0.0210000000000000,0.000263153833435097
0.0220000000000000,0.000281169497354049
0.0230000000000000,0.000299168573323142
0.0240000000000000,0.000317116086761403
0.0250000000000000,0.000334982212774685
0.0260000000000000,0.000352502305579788
0.0270000000000000,0.000369792355084849
0.0280000000000000,0.000386880475003342
0.0290000000000000,0.000403749803475364
0.0300000000000000,0.000420386757858594
0.0310000000000000,0.000436780648153405
0.0320000000000000,0.000452923209902676
0.0330000000000000,0.000468808138956125
0.0340000000000000,0.000484430603153224
0.0350000000000000,0.000499786711361943
0.0360000000000000,0.000514873004827170
0.0370000000000000,0.000529685787066968
0.0380000000000000,0.000544220566767976
0.0390000000000000,0.000558471334519635
0.0400000000000000,0.000572429774261195
0.0410000000000000,0.000586084477957997
0.0420000000000000,0.000599419930131956
0.0430000000000000,0.000612415473152538
0.0440000000000000,0.000625044193594077
0.0450000000000000,0.000637271425696982
0.0460000000000000,0.000649053636185204
0.0470000000000000,0.000660336771902626
0.0480000000000000,0.000671055128501061
0.0490000000000000,0.000681130375121667
0.0500000000000000,0.000690471288953352
0.0510000000000000,0.000698974648072807
0.0520000000000000,0.000706527878516051
0.0530000000000000,0.000713013760792899
0.0540000000000000,0.000718317652205188
0.0550000000000000,0.000722336754965877
0.0560000000000000,0.000724989897507003
0.0570000000000000,0.000726227009101150
0.0580000000000000,0.000726034359208116
0.0590000000000000,0.000724436492265799
0.0600000000000000,0.000721492362039585
0.0610000000000000,0.000717288557918277
0.0620000000000000,0.000711930324248747
0.0630000000000000,0.000705533061046428
0.0640000000000000,0.000698214559524914
0.0650000000000000,0.000690089930781313
0.0660000000000000,0.000681267531648503
0.0670000000000000,0.000671847423755421
0.0680000000000000,0.000661920394308832
0.0690000000000000,0.000651567947468624
0.0700000000000000,0.000640862562349601
0.0710000000000000,0.000629868731290431
0.0720000000000000,0.000618643478269523
0.0730000000000000,0.000607237011354092
0.0740000000000000,0.000595694109293350
0.0750000000000000,0.000584053974154121
0.0760000000000000,0.000572351434937925
0.0770000000000000,0.000560617428049790
0.0780000000000000,0.000548879010030631
0.0790000000000000,0.000537160507323489
0.0800000000000000,0.000525483302537682
0.0810000000000000,0.000513866242011455
0.0820000000000000,0.000502326244694076
0.0830000000000000,0.000490878121098641
0.0840000000000000,0.000479534897838223
0.0850000000000000,0.000468308247615420
0.0860000000000000,0.000457208295709531
0.0870000000000000,0.000446244112295718
0.0880000000000000,0.000435423226211176
0.0890000000000000,0.000424752564693725
0.0900000000000000,0.000414238034347591
0.0910000000000000,0.000403884632458116
0.0920000000000000,0.000393696629686991
0.0930000000000000,0.000383677524308397
0.0940000000000000,0.000373830361638450
0.0950000000000000,0.000364157634611415
0.0960000000000000,0.000354660963161550
0.0970000000000000,0.000345342061352149
0.0980000000000000,0.000336201625891433
0.0990000000000000,0.000327240430929935
0.100000000000000,0.000318458735023407
0.100000000000000,0.000318458735023407
0.110000000000000,0.000240367874950019
0.120000000000000,0.000178815961991733
0.130000000000000,0.000131451716289925
0.140000000000000,9.56689619511524E-05
0.150000000000000,6.90313531321934E-05
0.160000000000000,4.94406115016978E-05
0.170000000000000,3.51787313793989E-05
0.180000000000000,2.48862506083454E-05
0.190000000000000,1.75141650309048E-05
0.200000000000000,1.22684886122282E-05
0.210000000000000,8.55768638415641E-06
0.220000000000000,5.94614813577229E-06
