beta,draw1,draw2,draw3,draw4,draw5,draw6,draw7,draw8,draw9,draw10
0.0100000000000000,0.302567935325996,0.248405635991063,0.224605332619687,0.285256875904709,0.203562171253029,0.285444989785474,0.278993156291005,0.272005753118187,0.283724947722028,0.302072650139862
0.0200000000000000,0.189070901633450,0.234787196830422,0.226222251126195,0.329476010283610,0.278688636918103,0.308862077456044,0.274941474493223,0.263177288463122,0.197911700049700,0.199841274033030
0.0300000000000000,0.146087629719998,0.147916826880562,0.123472954096234,0.182674832263351,0.162034929102337,0.175681231264779,0.192623150699063,0.145331997303725,0.187906214239543,0.162662025024434
0.0400000000000000,0.179658351827754,0.125141986225399,0.114819438350783,0.122786340723065,0.135477033268429,0.136615147137850,0.100791925820653,0.132093505891813,0.130992381497324,0.115218899227653
0.0500000000000000,0.0869393378412061,0.103100771909363,0.106969772767385,0.109630983242247,0.132574761334847,0.0930102074559322,0.120380267683219,0.118524175230591,0.0735388863648929,0.136750718506357
0.0600000000000000,0.0778008466194305,0.0828725447925080,0.0930958673256121,0.0733115189997298,0.0989859314913123,0.0819958015003715,0.0939695102283924,0.0976743954930629,0.0840058736583548,0.0889971422586636
0.0700000000000000,0.0611637772269126,0.0606131223481831,0.0821535869685016,0.0666284629223624,0.0725683523148305,0.0712065892485093,0.0854706051028407,0.0804632180330566,0.0747625591269564,0.0791230370311491
0.0800000000000000,0.0743552611900485,0.0733752621590555,0.0724870900045114,0.0788345218779822,0.0598735961461275,0.0624463802414301,0.0638370912401728,0.0711447121975500,0.0783206879301466,0.0477576793210385
0.0900000000000000,0.0568399599944217,0.0847811092823847,0.0527788848699811,0.0698563755191119,0.0688024415899787,0.0529381485683159,0.0617061368281075,0.0664428215869060,0.0534374793634075,0.0620307044330955
0.100000000000000,0.0585343929982904,0.0594682887161915,0.0573378321272661,0.0621706020339709,0.0724389519152914,0.0454337290933584,0.0571958344566881,0.0664401065821341,0.0647982163065074,0.0604138545103957
0.150000000000000,0.0469468410825698,0.0386309529132959,0.0470401066875301,0.0453555027701165,0.0358096914123164,0.0535169602169825,0.0461146244171320,0.0443406503296399,0.0498238377083260,0.0398206884815668
0.200000000000000,0.0428682457056209,0.0357177989062816,0.0419427932514616,0.0461227209746752,0.0316150826813861,0.0265089562325959,0.0410397057492815,0.0437373317904814,0.0483758140891589,0.0502353731841007
0.250000000000000,0.0303349208744291,0.0395893234700597,0.0314708122445852,0.0270081100285321,0.0369955116710399,0.0336155861173618,0.0351947649811464,0.0404777927784549,0.0213748456240333,0.0364337161102444
0.300000000000000,0.0368363726119323,0.0285544497180989,0.0407767913232038,0.0300517431209414,0.0501773865975928,0.0421915918685906,0.0325513280952105,0.0403565942095830,0.0305799878599713,0.0604466677421301
0.350000000000000,0.0431819320864046,0.0324409557030636,0.0468088944619711,0.0395894484438875,0.0580125511855889,0.0209723387996408,0.0432393597397444,0.0818366069474975,0.0291273956280474,0.0370607480034660
0.400000000000000,0.0485753686081658,0.0510163817002476,0.0337698339463428,0.0412999890925090,0.0517773824942795,0.0504431909723390,0.0482827999863684,0.0397685963525508,0.0471531646017724,0.0552914181398620
0.450000000000000,0.0616010604894672,0.0344395956624414,0.0846556328754382,0.0521094215689669,0.0470931668077394,0.0513149829128580,0.0675592784065286,0.0524358274645597,0.0475387746668730,0.0532307852425704
0.500000000000000,0.0363496637160138,0.0529761775730165,0.0381030733858919,0.0525269632928087,0.104633813927730,0.0565602079478094,0.0968621199217564,0.0423827008546354,0.0595073058339567,0.0684679518540731
0.550000000000000,0.0737182384781581,0.0742944486091179,0.0469012451364572,0.0605605404241468,0.0407492903655633,0.0605788174235169,0.0506282481822534,0.0686148210465194,0.0851715230386116,0.0755505342416485
0.600000000000000,0.0596263633445761,0.0860464097445431,0.0490680662549109,0.0660462230544324,0.119620865970856,0.0593950915050690,0.0922564749133425,0.0636987915215593,0.0662773957714824,0.0442976364770327
0.650000000000000,0.0614081476655104,0.0602791351320911,0.0344898095456110,0.0759523026329943,0.144583609388579,0.0898254987104288,0.0812761005855854,0.139161058385902,0.0618712478716530,0.0988143094816772
0.700000000000000,0.110311845923774,0.129424589926201,0.0951485150288680,0.0817188751341595,0.0728555241975833,0.0541931423661764,0.151582646274898,0.110975165289205,0.105947233043340,0.155055580956986
0.750000000000000,0.164395636558857,0.108090389049317,0.0785328074331217,0.0948470753407058,0.113537168893697,0.0612725599898792,0.0480381818745914,0.109929421779802,0.0755892893292807,0.0890704661143819
0.800000000000000,0.110894913558518,0.103651708100204,0.0496697410133226,0.111938287019116,0.0813786491077090,0.111530157584936,0.117495792289120,0.0795007438617552,0.122183597222699,0.206184717641773
0.850000000000000,0.0988467718202431,0.145543103780403,0.102605636284644,0.126941800655419,0.100344415980317,0.133921666224100,0.108558027465433,0.0798983951622223,0.163596520052500,0.128338055810218
